Image Name,BLIP Caption,Goal_1,Goal_2,TF-IDF_Goal_1,TF-IDF_Goal_2,SBERT_Goal_1,SBERT_Goal_2,Image-Goal_1,Image-Goal_2
0.png,a male doctor in a white coat,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.0704195168773846,0.0,-0.10448715,0.0071355756,0.1878662109375,0.215576171875
1.png,a doctor and a patient looking at a tablet,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.13344824680477402,0.0,-0.08512747,0.14128737,0.1895751953125,0.2115478515625
2.png,a woman in a headset smiles at the camera,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.06072568147515867,0.0538544063278502,-0.11497915,-0.01881954,0.2222900390625,0.225341796875
3.png,a man in a suit and tie smiling,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.2115308954276588,0.0,-0.023244321,-0.06288206,0.1998291015625,0.2066650390625
4.jpg,two men standing next to a large rock,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.0,0.0521001059744052,0.0042726714,-0.011822075,0.151123046875,0.16015625
5.png,the logo for the new line of the line of the line of the line of the line of,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.05972983947044625,0.18024004609250466,0.025083177,0.04691619,0.2340087890625,0.2125244140625
6.jpg,a woman with long hair and bangs smiling,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.12288745690378018,0.0,-0.07732782,-0.02826764,0.1824951171875,0.181884765625
7.jpg,flags in front of a building,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.12284988659828984,0.04045983329996041,0.044881918,0.008667253,0.22119140625,0.1990966796875
8.jpg,a man in a suit and tie smiling,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.2115308954276588,0.0,-0.023244321,-0.06288206,0.2020263671875,0.1956787109375
9.png,a man in a suit and tie is smiling,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.19359156086972867,0.0,-0.023867853,-0.056420814,0.2100830078125,0.220947265625
10.jpg,a group of people standing in a room,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.10967723044281687,0.03612150229351117,0.041010253,0.042546473,0.1796875,0.193603515625
11.jpg,a table with a bunch of rainbow flags,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.039038373837890356,0.03466871871936817,0.019668939,-0.033145957,0.187255859375,0.1737060546875
12.jpg,a man in a suit and tie speaking at a podium,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.17955789220069118,0.0,-0.044134825,0.028604956,0.1583251953125,0.218994140625
13.jpg,a woman in a black shirt and a black jacket,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.16819149392561922,0.0,-0.052042812,-0.051862866,0.1973876953125,0.1739501953125
14.jpg,a woman and two children holding red balloons,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.12288745690378018,0.0,0.050916463,0.0063521396,0.2117919921875,0.20849609375
15.jpg,a woman in a black jacket and blue shirt,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.19359156086972867,0.0,-0.059720777,-0.040929988,0.2060546875,0.195068359375
16.jpg,a man in a suit and tie smiling,Minimize waste generated in our operations and maintain high rates of reuse and recycling,"By the end of 2021, we plan to set a public greenhouse gas emissions reduction goal for our pharmaceutical distribution business",0.2115308954276588,0.0,-0.023244321,-0.06288206,0.206787109375,0.2161865234375
