ID,Text Blocks,Goal Score
1,Meet all federal and state regulations,0.9891365766525269
2,Reduce MPLX G&P methane emissions intensity 50% by 2025 and 75% by 2030 from 2016 levels,0.9889388084411621
3,reduction of Scope 3 - Category 11 GHG emissions by 2030 from 2019 levels,0.9871972799301147
4,produce approximately 184 million,0.9854912757873535
5,equal to 10 bbl but less than 100 bbl,0.9850679039955139
6,Achieve a 5% reduction in companywide process safety events over 2020 and 2021 combined average — our two best performance years ever — by: y Maintaining equipment integrity  y Managing change y Enforcing safe work practices and operating procedures,0.9846113324165344
7,reduction of Scope 1 and 2 GHG emissions intensity by 2030 from 2014 levels,0.9842901825904846
8,"equal to 100 bbl but less than 1,000 bbl",0.9835970997810364
9,"IN 2021, WE OWNED AND MAINTAINED 1,200+ ACRES OF WHC-CERTIFIED HABITAT LAND ACROSS 20 CERTIFIED HABITATS",0.9822697043418884
10,equal to an established reportable quantity but less than 100 times the reportable quantity,0.9820004105567932
11,to reduce 75% by  2030 from 2016 levels,0.9810264706611633
12,"Over 80% of 25,000+ pneumatic controllers are powered by compressed air y Eliminate all ~340 high-bleed pneumatic controllers from service by end of 2022 y Convert ~3,400 intermittent-bleed pneumatic controllers to compressed air or lower",0.980048656463623
13,ROBCO SERVICES RECEIVES REFINING'S DIVERSE SUPPLIER OF THE YEAR AWARD IN 2021,0.977974534034729
14,2020 and 2021 MPLX Employee Days,0.9778303503990173
15,2020 and 2021 Refining Employee Days,0.9778265953063965
16,reduction of freshwater withdrawal intensity by 2030 from 2016 levels,0.9774022102355957
17,Promotes the effectiveness of enterprisewide Compliance and Ethics Program,0.976260244846344
18,Prove an exemplary safety record,0.9752755165100098
19,Utilize innovative technology and tools to improve safety and performance,0.9750156998634338
20,CHALLENGING OURSELVES TO LEAD IN SUSTAINABLE ENERGYSustainability Report 2021,0.972934901714325
21,to reduce 15% below  2019 levels by 2030,0.9725711345672607
22,gallons of renewable fuels delivered to consumers in 2021,0.9695759415626526
23,y All contracted waste disposal and recycling facilities that we work with must prove compliance with state and federal waste regulations.,0.9670530557632446
24,Sustainability Report 2021  |  ,0.9658469557762146
25,"The joint venture, Green Bison Soy Processing, LLC, will own and operate a soybean processing complex in Spiritwood, North Dakota, with ADM owning 75% of the joint venture and MPC owning 25%.",0.9638251662254333
26,fenceline monitoring to conduct more frequent/real-time monitoring,0.9634268879890442
27,Eighth consecutive year in reducing our Scope 1 and 2 GHG emissions intensity,0.9579195976257324
28,Further aligning our community investments with our DE&I commitments,0.9555419087409973
