ID,Text Blocks,Goal Score
1,commitment is to triple exports from India to $10 billion each year by 2027,0.9893693923950195
2,"100% of global private brand packaging recyclable, reusable or industrially compostable by 2025",0.9879463315010071
3,17% of global private brand plastic packaging made of post‑consumer recycled content by 2025,0.9876909255981445
4,20% private brand plastic packaging in North America made of post‑consumer recycled content by 202527,0.987633228302002
5,"Our ambition is to accelerate a transition to 100% recyclable, reusable or industrially compostable private brand packaging by 2025",0.9835433959960938
6,"Forest Stewardship Council, Programme for the Endorsement of Forest Certification, Sustainable Forestry Initiative",0.981656014919281
7,"Committed to help protect, manage or restore at least50 million acres of land and1 million square miles of oceanby 2030",0.9538827538490295
8,"Doug McMillon, September 2020",0.9533514380455017
9,"As of April 2021, 25% of our Board was female and 17%  was racially or ethnically diverse",0.949472963809967
10,"Row crops Acres involved in fertilizer optimization and soil health practice programs, as reported by suppliers",0.9407399296760559
11,Targeted zero emissions— without offsets — across the company’s global operations by 2040,0.9348439574241638
12,We track and publicly disclose (semiannually) key performance indicators on diversity and inclusion at Walmart to inform our plans for continued,0.8679132461547852
13,Estimated 36% of our global electricity needs were supplied by renewable sources in 20207,0.8573906421661377
14,"Building upon years of work promoting the sustainable production of important commodities, Walmart and the Walmart Foundation committed in 2020 to help protect, manage or restore at least 50 million acres of land and 1 million square miles of ocean by 2030.",0.8550382256507874
15,19% decreasein carbon intensity per revenue (FY2016–FY2020)8,0.8522098064422607
16,"Our ambition is to accelerate a transition to 100% recyclable, reusable or industrially compostable private brand packaging.",0.8079602122306824
17,We have committed to engage with stakeholders to address the major potential risks to the dignity of workers in a minimum of 10 retail supply chains by 2025.,0.35582977533340454
18,"We aspire to achieve zero waste to landfill or incineration in our operations, and we work with suppliers, customers and communities to accelerate the adoption of circular packaging and products.",0.26834210753440857
19,"Extending these efforts, the Walmart Foundation committed $2 million to support various NGOs in India in the spring of 2021.",0.25991058349609375
20,"We respect human rights and seek to use our scale, capabilities and influence to help people and communities improve their lives",0.2557317316532135
21,Meeting or exceeding Zero Waste International Alliance (ZWIA) business recognition program,0.19890539348125458
22,Our new target is to reduce absolute scopes 1 and 2 GHG emissions by 35% by 2025 and by 65% by 2030 (2015 base year) on the way to achieving zero emissions in 2040.,0.1583375632762909
23,WWF will assist ranchers in developing and implementing whole ranch management plans designed to achieve ecological and economic outcomes.,0.15130536258220673
24,We strive to make a meaningful and positive contribution to the countries and communities in which we operate through our engagement with government.,0.12430606037378311
25,"We joined the U.S., Canada and U.K. Plastics Pacts as part of the Ellen MacArthur Foundation’s initiative to create a circular economy for plastics — which aspires to recycle or compost 50% of plastic packaging by 2025.",0.12248212844133377
26,"We set 2040 as our target date to achieve zero emissions in our global operations and committed to help protect, manage or restore at least 50 million acres of land and 1 million square miles of ocean by 2030.",0.12232954055070877
27,Walmart made CDP’s ‘A List’ and Supplier Engagement Leaderboard for Climate for the second consecutive year in 2020,0.11125759035348892
28,No one organization can single‑handedly transform supply chain systems.,0.10491013526916504
29,"Estimated percentage recyclable, reusable or industrially compostable by 2025, based on supplier reports",0.10252299904823303
