pickle_file,evaluator,preference
cvs_0.pkl,Mohammad,System
cvs_1.pkl,Mohammad,System
cvs_2.pkl,Mohammad,System
cvs_3.pkl,Mohammad,System
cvs_4.pkl,Mohammad,System
cvs_5.pkl,Mohammad,System
cvs_6.pkl,Mohammad,System
cvs_7.pkl,Mohammad,System
cvs_8.pkl,Mohammad,Skip
cvs_9.pkl,Mohammad,System
google_0.pkl,Mohammad,System
google_1.pkl,Mohammad,System
google_2.pkl,Mohammad,System
google_3.pkl,Mohammad,Skip
google_4.pkl,Mohammad,System
google_5.pkl,Mohammad,System
google_6.pkl,Mohammad,System
google_7.pkl,Mohammad,System
google_8.pkl,Mohammad,System
google_9.pkl,Mohammad,System
marathon_0.pkl,Mohammad,Skip
marathon_1.pkl,Mohammad,System
marathon_2.pkl,Mohammad,Skip
marathon_3.pkl,Mohammad,System
marathon_4.pkl,Mohammad,System
marathon_5.pkl,Mohammad,System
marathon_6.pkl,Mohammad,System
marathon_7.pkl,Mohammad,System
marathon_8.pkl,Mohammad,Skip
marathon_9.pkl,Mohammad,System
pepsico_0.pkl,Mohammad,System
pepsico_1.pkl,Mohammad,System
pepsico_2.pkl,Mohammad,System
pepsico_3.pkl,Mohammad,System
pepsico_4.pkl,Mohammad,System
pepsico_5.pkl,Mohammad,System
pepsico_6.pkl,Mohammad,System
pepsico_7.pkl,Mohammad,System
pepsico_8.pkl,Mohammad,Skip
pepsico_9.pkl,Mohammad,System
walmart_0.pkl,Mohammad,System
walmart_1.pkl,Mohammad,System
walmart_2.pkl,Mohammad,System
walmart_3.pkl,Mohammad,System
walmart_4.pkl,Mohammad,System
walmart_5.pkl,Mohammad,Skip
walmart_6.pkl,Mohammad,Skip
walmart_7.pkl,Mohammad,System
walmart_8.pkl,Mohammad,System
walmart_9.pkl,Mohammad,Skip
